File ID	File Name	Run Metadata ID	Study Name	PDC Study ID	PDC Study Version	Study ID	Project Name	Data Category	File Type	Access	File Size (in bytes)	Md5sum	Downloadable	File Download Link
2548a09d-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N45T46_240min_092313.raw	NCC_N45T46_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1875804854	4e5f30e83ce469a6f75a26a0c302adff	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N45T46_240min_092313.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=UNO7oLU0ea4v0fdeuv-~tZ25JzVu1hwqryy15Usl6IcOFY2ZxLquNceD4AW6vqNl3C1dUgXSH6-0Rotnh1FSvxxty-KRmfK80Oc1XbV1hCVDuKmNxgo1R-VhXDsM3~gbcjTAU-iIziS566iRJ-jvUe6mqsftUzXi0yA8LeuObQLLTyna7rASZma0NKhLLeTPkxdsICQLhE1ev3iJZxTjVhQuYtfTpjvNqrxHy3ZAnNXTArC4mnw3JDJAA9lugbBoFmet~wksHZO0HHdvGodQ7hZKvwhhvKJ-Ln~MW8dQSdr5cOSQk4lo5eFFIYv2o2bvGxsBI3hJDKQQbJh2bUB0aQ__
2548a250-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N5357T5374_240min_C1_061015.raw	NCC_N5357T5374_Phosphoproteome_KU_20161115	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1800696986	35d465dd091276708d41b7a4af4ecdf1	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N5357T5374_240min_C1_061015.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=eBA1dU-attSx414uBzF4tlfDJBU3Dm9djU4aKEY~oAzVMm5QhkXUdrFjpQdThZGLrCwm9kJXfohPp1pBx1Lt0gi5464nMYpM0fFhaSJRFJQsbfm0bod7H1vreImzMvyCcBMR0DoQIrPGLa0JWagW8z2RiiG9QSPWDtLnEJ2EgZUjQAdLZ0ir3lhsDy~33yDGh9XKxcWep2krrHd8jIqzQkwm2u4S-Mffi-IPslaKNMh4Qb6rHbKfekI4v1Mj6xhP1FKpBsbI1ZObmAuzWxyzEfNXVwABf2pItQsAMhi54ebJyxfBYHQzb3-hNFw9JPwGTluL8XQOPegMGEIae1Sm-g__
2548a80a-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N5381T5760_240min_C2_060715.raw	NCC_N5381T5760_Phosphoproteome_KU_20161115	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1720087023	7d543bb680fc7542d2091b6648ed5ba0	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N5381T5760_240min_C2_060715.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hPKjd4pgzHpL4LBBaeJbLvwzqTAXoEyg7~bD~uyboRyQbrxmfbk3ZiBdAP~Sk8SuvXZ5SwkJP96hFp5TMC4Nyogah3hGKR8lqbG7V7pOghKQLZ8tWZjJq-8UZAaHLMjH0pZCO0zlpvW0EoU7FT-mjNXBIuIQDILv-ng9ht~517AZZoDQjLLxCoROvSw9Ycw7cs7GxZXd94z0XiARVZHhO~3RCgEsj-gjqpSB3t~UPVF9reVmjG053Fl96d1FxQbPyk1JVfWIda1mwfCePFHGrNS0DQ-k98KQn9gsIbmsuC7qV-TPxlxkoF8nDK1aJvciOu3J6zklS7ID5g2Payj0SA__
2548a9e7-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N53T54_240min_062113.raw	NCC_N53T54_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	2141632165	e60ffb118dccac2094ede597c1d92ac9	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N53T54_240min_062113.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hGR2A3PgxpMK6nDSZ2humFTa7g5pvJcaS5Ml-pykfd9Iw6MSV~cQexSrNXLLnLBiawtiKI90GZD9w-MaP~FCY4D8UzZIXlMxLFHfyQy8bhHPlM77iUs~PbILGn6DcYmWh7epPB18jq27FyPU8kGMyx50lH6m9CoZxqjqW6WAcSjIBogE6J34W-t9eDQwKVeiyAuinIIi8Ty44Y7ghNOPZRrD9QFvdetaQ7ufTb3aCcWV6e1ItTc2nrYyCF5BYqq~Yp8CRajiymLOSDhv~ealwPyuntiZOYIuBmzAr9wZh7gHw37OBJ3-dQjNRp~daed9LFUaP5f9EpMv-mCUjKp6eQ__
2548b038-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N55T56_240min_C1_103013.raw	NCC_N55T56_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1875480944	15ded602c4f3acea7082a79a02950237	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N55T56_240min_C1_103013.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=QZOXCkKCi3IxUzFw2yAF8~cjkzO-OuQsTqUoG~dwsFMlSu0nwVdZ0OTRJ1tlxQRNEFaKtTXJgF7eDTmMl~7F4wvnE9LJi44UymWB1wn3UpdeRiR213LaG5mLGZi-bab7SHKtHx8qbc91Kv381XbG5x4fZUlXp6IDFvVcKi2p2y3rLVnvu1y4HF9HBkz2Nqw62wocvTK2aWS~tGQ3EPib4YwJL8WZpaHs-1zsCpx2Z2aFbvYwIAsNoSHayPAGJcfC0fgNLndOQSlw-~VROP27yybwM0me67SuJHvdPRhnT21Ot9wp3dErjd9je4TMdw4BTWLWAudBMxdvgz3weWYIDg__
2548b244-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N59T60_240min_062813.raw	NCC_N59T60_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	2358103521	dcdb160e33e1e59bb4050b782719e80d	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N59T60_240min_062813.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=A8wpm15eAIakAA22l9Q2SzaWsaok~uXXKaGs4egpqJVh7ODjMIHOdXcdowKoIDpkNoJpzIJ6MXs0gR9yUfi2VH5SViNWmNYFJBIT28b1VRTHBVMeVIqN5YmjQPtS0k1yFcgwRrcWbYBAK3QWjowd5F5eyr9AkjOmyzJV0XrJOVYUuRNzBlkvZG-0PBnvzIbk5GQAnh3Ho1dPE99c4xFXoGaT2IZVfMsKUhTOLdKLxmsSW2HC08oEOW5EL5hDCacaTpBAxs6p326unpPrVMwRwv9jEKKP-AA4R4DBYjFiOaWoq0Ku0Fpbnzv1x65UsKRzUDzEWzESy5bmqN0bWis-cw__
2548b8b5-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N63T64_240min_070813.raw	NCC_N63T64_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	2051774855	abd0bc8906b38ff2eff94abaf78af59f	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N63T64_240min_070813.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=VpbqrtKgcYidGk1xdWPbsneiJnR5Xdy~0bi920HUgohKkB8Y29fqDfcK6MC7uR9gIPSb-rI7XNjSgyWcn2zTRGw274KBgBA3UWbtPRcc0K7Y2pc4mvzlD5AF-sd0T8ImEQhDTvjB3VLLE87NsxFZjcBTgHCw0we9gWzBBirQDck9sB2O9cjq1pmsCHq4fWHZ-fv~CrBfDMi81nRHCvnM0GBNrPpu5iwi---a1JGjn47zK0Re1-RjQfps2fB0uMG09NoAmA1qsN9PaFV2Y2jHn4CPifhJbGAOwojh~epakK2~~989G~cFV465qtWz184HVaHSchr1IZsFewwnxNon-Q__
2548baa6-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N65T66_240min_C2_110313.raw	NCC_N65T66_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	2007674217	920f78195bea90179095764899717f7b	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N65T66_240min_C2_110313.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=AGrN3S1MaCYHrpYdfzxFVW1VFmP3RSEyXhC9jwz5Prt9Ku1pZJWw0VMFxeon~615i9bRPFNWH2vR~pbRKyBXhIFrnQ7ADmv0~atjfH1gWGgZ-lV0ZjG6UIdXbbHHUaZ8qPc2VnzLRtNiR3TSYPVA3YedalurKSa-l9TQWSX6bIDO6F9RhJPh3qF73mN3aBV9CKqhpgWsF47fJpNmvZZMAVUn11nzyjCyS~w-6BI~vOTgSJxdRy9RVcxQgilLH7aAVnPs-nk7Y87jLdt1f1BHqZuscTjY~N95npTiOVS94lv79NJh4Yc3OIr-iqTvvjr4N3oJ24XNL5oe75wBTgk2dA__
2548c150-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N67T68_240min_072914.raw	NCC_N67T68_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1971563763	4b6695e794d6ccd8b0607b18381add3f	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N67T68_240min_072914.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=eQVaxypW8P3Smv690hi7ySiIE1sbZhSLUv5OQbFWkIFeM9RSWSP3QsjESVnQDjLR7IbdR7W~5CJjSBxxsaYXGrckaHYIjpYC6SGig-6l~v-oKBbPcA0QR1jgz6oEUgxP~hdSxXfEfsznx-KVj-Wt8k2jA2PQj12~3cA3-QcaaNPs4qBW-HDwyb2ufpY6iWexePB8fM8Cjxoj0XVXNYFXGY2WYaGTuJT7bpQ1c4xJPKrEmmGaSDQR5lNR0CJ9WqsDQ~X-S5BfCYyI97QthbZYriLttqZUImki7Ws5Cp5IEXub2lCG8aU7HflMeaUK44ltvAoZjelRZX4FxeMN-a0C5g__
2548c316-f1f8-11e9-9a07-0a80fada099c	Phospho_FN08_N87T88_240min_C1_110613.raw	NCC_N87T88_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	2154660608	b48e98ab92382f731ae5edfd908792c7	Yes	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/28/Phospho_FN08_N87T88_240min_C1_110613.raw?Expires=1722230057&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=C9~XWT8CEaNefBvtuFrtnFx29rW5ItVvDZkhykcG4to0XSmMOvfJGCZbZAPxP~7iWhhGKw5HQygVINKqTRw4PB1y4CtqHtQYaOQRBoZRvuCeEk0Fp7nk7FqpnI9-mZeB6NMZRKwSEk84yOCogMa2aI0bVos3O5SiV0KEdbFxICjQIsQelPI~7K6DWnhnriY81FtWfzpJXrq0JcPu2hpiGreC6BDofvb0cnSjzoSJY99jvFasBdn7SlZdf5Ne~DkwfHxgyWoG3MBZ82aanxHC5ycMWfoIBYE2V8JocxWEMQcUm-NpjFonPWIXLzyBDbVHXnUmSic3twW9BNFNiv6PRA__
